tanggal,Values2,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
2014,Sum of Bumil,439,521,502,533,672,760,766,854,1033,783,1083,1098
,Sum of IDU,22,21,22,12,11,15,15,7,8,11,6,6
,Sum of IMS,17,53,31,16,44,12,3,14,20,18,28,29
,Sum of LSL,28,62,74,69,43,43,43,50,63,47,59,40
,Sum of TB,58,99,96,80,123,142,77,82,129,105,123,81
,Sum of Waria,0,1,15,17,3,11,1,1,7,7,6,3
,Sum of WBP,0,0,0,0,0,0,0,0,0,0,0,0
,Sum of WPS,10,32,50,55,9,67,12,13,37,42,18,5
2014 Total,,574,789,790,782,905,1050,917,1021,1297,1013,1323,1262
2015,Sum of Bumil,899,967,827,840,984,843,729,840,901,696,887,880
,Sum of IDU,7,13,10,18,7,11,3,11,15,5,5,1
,Sum of IMS,33,54,26,17,31,22,26,29,40,21,25,30
,Sum of LSL,34,67,50,51,52,29,18,36,83,39,69,37
,Sum of TB,156,136,137,140,165,207,150,186,149,170,145,123
,Sum of Waria,0,14,1,0,0,1,1,0,18,2,5,8
,Sum of WBP,0,0,0,0,0,0,0,75,128,34,228,39
,Sum of WPS,153,120,132,82,224,183,7,38,28,32,49,27
2015 Total,,1282,1371,1183,1148,1463,1296,934,1215,1362,999,1413,1145
2016,Sum of Bumil,983,956,846,800,1002,888,542,1035,830,829,1098,756
,Sum of IDU,1,10,2,140,255,9,5,29,37,74,63,75
,Sum of IMS,42,30,30,18,14,18,9,33,23,19,36,29
,Sum of LSL,85,100,53,123,182,169,75,171,204,239,376,261
,Sum of TB,176,146,131,141,148,195,109,200,157,129,170,178
,Sum of Waria,1,1,0,6,29,13,2,5,34,22,7,1
,Sum of WBP,27,111,111,201,46,112,78,56,56,27,69,19
,Sum of WPS,60,109,80,48,180,196,169,62,247,138,360,386
2016 Total,,1375,1463,1253,1477,1856,1600,989,1591,1588,1477,2179,1705
2017,Sum of Bumil,1138,987,953,1222,986,949,995,1014,815,1089,941,899
,Sum of IDU,23,71,74,13,105,128,69,122,22,38,104,30
,Sum of IMS,18,17,17,16,7,16,14,14,10,10,11,31
,Sum of LSL,390,221,260,313,353,333,379,389,467,186,182,142
,Sum of TB,233,219,196,204,210,125,141,225,210,286,304,225
,Sum of Waria,29,13,16,9,39,3,13,10,20,7,6,1
,Sum of WBP,27,35,43,51,107,57,132,183,149,96,190,156
,Sum of WPS,202,341,306,373,456,69,196,447,300,391,355,146
2017 Total,,2060,1904,1865,2201,2263,1680,1939,2404,1993,2103,2093,1630
